# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,56
1,11
2,23
3,30
4,54
5,31
6,36
7,36
8,7
9,93
10,1
11,68
12,87
13,50
14,82
15,74
16,93
17,52
18,29
19,78
20,75
21,39
22,18
23,30
24,33
25,28
26,48
27,29
28,62
29,73
30,46
31,52
32,35
33,39
34,33
35,39
36,90
37,55
38,72
39,57
40,22
41,66
42,75
43,58
44,90
45,58
46,57
47,73
48,45
49,63
50,94
51,38
52,55
53,22
54,54
55,65
56,29
57,55
58,20
59,28
60,94
61,24
62,62
63,70
64,50
65,79
66,58
67,95
68,66
69,98
70,5
71,1
72,94
73,10
74,93
75,21
76,86
77,13
78,6
79,58
80,99
81,68
82,98
83,31
84,83
85,47
86,58
87,34
88,32
89,99
90,13
91,53
92,60
93,9
94,25
95,68
96,29
97,44
98,45
99,81
100,21
101,15
102,51
103,86
104,52
105,69
106,54
107,42
108,6
109,87
110,82
111,24
112,57
113,33
114,10
115,50
116,8
117,36
118,92
119,86
120,50
121,15
122,16
123,44
124,53
125,72
126,30
127,52
128,14
129,14
130,51
131,82
132,68
133,92
134,5
135,29
136,37
137,17
138,40
139,5
140,12
141,81
142,26
143,55
144,21
145,37
146,85
147,75
148,12
149,87
150,14
151,69
152,52
153,55
154,6
155,53
156,30
157,52
158,48
159,14
160,40
161,77
162,34
163,90
164,84
165,75
166,89
167,85
168,69
169,46
170,91
171,90
172,60
173,87
174,13
175,56
176,96
177,29
178,90
179,65
180,94
181,40
182,86
183,57
184,19
185,73
186,45
187,60
188,71
189,37
190,21
191,36
192,66
193,14
194,8
195,99
196,24
197,79
198,60
199,98
200,82
201,26
202,55
203,76
204,15
205,28
206,55
207,71
208,5
209,38
210,67
211,7
212,47
213,46
214,1
215,61
216,69
217,14
218,73
219,99
220,25
221,20
222,70
223,26
224,97
225,32
226,99
227,85
228,6
229,53
230,69
231,74
232,21
233,23
234,59
235,53
236,80
237,14
238,91
239,70
240,21
241,31
242,4
243,3
244,23
245,31
246,4
247,4
248,9
249,46
250,28
251,43
252,57
253,60
254,53
255,27
256,86
257,62
258,49
259,81
260,68
261,29
262,26
263,21
264,1
265,83
266,38
267,89
268,13
269,41
270,87
271,16
272,74
273,39
274,15
275,0
276,36
277,27
278,27
279,50
280,36
281,84
282,89
283,60
284,83
285,21
286,48
287,44
288,44
289,97
290,92
291,78
292,95
293,7
294,88
295,22
296,87
297,77
298,54
299,56
300,98
301,42
302,65
303,16
304,64
305,61
306,10
307,10
308,28
309,73
310,52
311,48
312,54
313,26
314,48
315,77
316,76
317,1
318,40
319,74
320,14
321,6
322,57
323,41
324,32
325,36
326,47
327,72
328,39
329,97
330,58
331,3
332,82
333,84
334,3
335,31
336,34
337,86
338,79
339,99
340,1
341,69
342,11
343,73
344,52
345,23
346,11
347,74
348,15
349,21
350,4
351,95
352,7
353,41
354,30
355,4
356,79
357,65
358,52
359,69
360,39
361,16
362,80
363,75
364,42
365,29
366,51
367,29
368,42
369,82
370,35
371,15
372,81
373,23
374,37
375,61
376,64
377,62
378,42
379,91
380,35
381,18
382,17
383,36
384,20
385,87
386,12
387,79
388,43
389,9
390,36
391,99
392,75
393,21
394,92
395,50
396,34
397,81
398,49
399,56
400,19
401,52
402,63
403,43
404,2
405,41
406,24
407,41
408,75
409,47
410,48
411,65
412,54
413,62
414,84
415,1
416,80
417,26
418,33
419,30
420,76
421,9
422,16
423,31
424,40
425,16
426,29
427,78
428,58
429,41
430,49
431,16
432,0
433,91
434,9
435,1
436,98
437,4
438,98
439,62
440,45
441,64
442,8
443,39
444,71
445,81
446,87
447,43
448,75
449,56
450,62
451,9
452,66
453,55
454,63
455,41
456,51
457,23
458,44
459,26
460,3
461,1
462,15
463,23
464,53
465,54
466,66
467,34
468,54
469,45
470,63
471,51
472,66
473,54
474,8
475,83
476,44
477,34
478,11
479,51
480,69
481,52
482,10
483,42
484,43
485,22
486,10
487,13
488,80
489,6
490,67
491,86
492,19
493,69
494,37
495,87
496,26
497,88
498,42
499,31
500,34
501,48
502,23
503,90
504,93
505,43
506,75
507,29
508,49
509,47
510,23
511,25
512,2
513,71
514,19
515,29
516,36
517,63
518,27
519,88
520,74
521,34
522,30
523,11
524,77
525,14
526,44
527,53
528,99
529,73
530,56
531,79
532,16
533,83
534,87
535,63
536,81
537,44
538,38
539,70
540,87
541,56
542,8
543,78
544,81
545,2
546,41
547,32
548,54
549,30
550,14
551,94
552,64
553,37
554,96
555,29
556,67
557,71
558,55
559,81
560,9
561,62
562,22
563,12
564,99
565,74
566,67
567,91
568,39
569,91
570,15
571,46
572,13
573,18
574,73
575,64
576,82
577,12
578,97
579,90
580,92
581,67
582,40
583,21
584,52
585,42
586,84
587,85
588,70
589,25
590,61
591,65
592,88
593,62
594,94
595,45
596,21
597,60
598,94
599,41
600,46
601,8
602,80
603,79
604,29
605,44
606,90
607,83
608,93
609,98
610,98
