# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,33
1,82
2,50
3,71
4,80
5,37
6,23
7,47
8,38
9,82
10,13
11,63
12,22
13,78
14,36
15,25
16,96
17,0
18,70
19,26
20,56
21,38
22,43
23,78
24,40
25,35
26,45
27,5
28,64
29,9
30,27
31,92
32,4
33,72
34,48
35,27
36,99
37,70
38,98
39,69
40,41
41,89
42,11
43,29
44,24
45,80
46,76
47,3
48,18
49,93
50,53
51,30
52,57
53,38
54,27
55,85
56,62
57,50
58,80
59,74
60,0
61,98
62,72
63,46
64,70
65,53
66,19
67,27
68,61
69,68
70,12
71,95
72,56
73,39
74,94
75,28
76,82
77,46
78,94
79,74
80,37
81,29
82,18
83,50
84,21
85,99
86,62
87,46
88,87
89,3
90,99
91,43
92,36
93,3
94,24
95,63
96,35
97,7
98,67
99,47
100,3
101,25
102,95
103,36
104,10
105,21
106,38
107,25
108,80
109,95
110,78
111,4
112,52
113,73
114,31
115,35
116,2
117,43
118,73
119,74
120,63
121,26
122,72
123,43
124,46
125,8
126,92
127,96
128,99
129,65
130,13
131,25
132,73
133,83
134,79
135,87
136,51
137,9
138,28
139,75
140,9
141,9
142,39
143,29
144,34
145,26
146,72
147,70
148,90
149,35
150,12
151,86
152,9
153,63
154,85
155,66
156,47
157,79
158,5
159,89
160,8
161,42
162,94
163,78
164,62
165,32
166,85
167,1
168,9
169,34
170,95
171,84
172,88
173,81
174,56
175,61
176,84
177,81
178,22
179,41
180,8
181,91
182,13
183,29
184,22
185,24
186,16
187,44
188,71
189,64
190,86
191,70
192,33
193,93
194,43
195,38
196,7
197,67
198,9
199,36
200,10
201,92
202,69
203,61
204,37
205,48
206,71
207,89
208,18
209,91
210,1
211,77
212,95
213,0
214,61
215,64
216,54
217,68
218,13
219,70
220,30
221,36
222,43
223,34
224,94
225,95
226,75
227,81
228,43
229,25
230,33
231,35
232,72
233,48
234,47
235,73
236,32
237,94
238,51
239,78
240,71
241,16
242,72
243,87
244,44
245,78
246,79
247,53
248,85
249,59
250,56
251,3
252,6
253,29
254,60
255,32
256,98
257,79
258,82
259,81
260,92
261,33
262,52
263,29
264,99
265,47
266,56
267,90
268,46
269,48
270,82
271,61
272,68
273,20
274,44
275,71
276,38
277,2
278,18
279,35
280,41
281,59
282,39
283,86
284,51
285,3
286,15
287,36
288,20
289,45
290,0
291,22
292,16
293,88
294,45
295,17
296,94
297,9
298,55
299,92
300,57
301,1
302,58
303,64
304,23
305,37
306,1
307,24
308,60
309,5
310,70
311,34
312,48
313,28
314,99
315,42
316,10
317,67
318,7
319,5
320,54
321,95
322,42
323,54
324,70
325,73
326,69
327,34
328,72
329,76
330,26
331,88
332,42
333,63
334,90
335,35
336,48
337,6
338,80
339,15
340,3
341,61
342,9
343,54
344,1
345,33
346,96
347,53
348,78
349,63
350,59
351,56
352,98
353,24
354,60
355,68
356,42
357,53
358,90
359,79
360,40
361,85
362,56
363,53
364,27
365,20
366,97
367,15
368,59
369,50
370,44
371,0
372,60
373,81
374,10
375,36
376,20
377,14
378,71
379,62
380,66
381,12
382,77
383,57
384,61
385,37
386,86
387,29
388,32
389,93
390,21
391,14
392,92
393,42
394,31
395,70
396,38
397,81
398,58
399,42
400,69
401,42
402,74
403,24
404,67
405,15
406,40
407,68
408,30
409,38
410,95
411,64
412,26
413,56
414,11
415,60
416,68
417,21
418,81
419,82
420,94
421,33
422,21
423,47
424,30
425,80
426,37
427,36
428,59
429,82
430,10
431,8
432,78
433,48
434,57
435,93
436,23
437,64
438,88
439,65
440,96
441,61
442,62
443,47
444,23
445,34
446,36
447,71
448,97
449,54
450,0
451,82
452,72
453,0
454,39
455,93
456,45
457,48
458,57
459,6
460,40
461,99
462,55
463,94
464,76
465,22
466,55
467,12
468,98
469,56
470,36
471,70
472,77
473,56
474,1
475,52
476,7
477,45
478,72
479,64
480,85
481,35
482,68
483,4
484,72
485,35
486,15
487,27
488,51
489,85
490,35
491,27
492,0
493,76
494,51
495,29
496,61
497,50
498,57
499,79
