# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,99
1,24
2,99
3,83
4,10
5,43
6,18
7,40
8,98
9,57
10,31
11,45
12,0
13,89
14,83
15,38
16,76
17,97
18,3
19,58
20,98
21,29
22,60
23,97
24,0
25,70
26,4
27,98
28,79
29,4
30,74
31,28
32,5
33,78
34,23
35,19
36,56
37,48
38,78
39,12
40,62
41,86
42,37
43,57
44,59
45,18
46,84
47,1
48,48
49,42
50,73
51,32
52,62
53,76
54,79
55,44
56,78
57,18
58,89
59,8
60,99
61,10
62,46
63,55
64,78
65,91
66,38
67,34
68,58
69,59
70,95
71,48
72,9
73,21
74,25
75,81
76,73
77,39
78,47
79,13
80,40
81,2
82,60
83,43
84,8
85,82
86,66
87,19
88,14
89,80
90,10
91,13
92,21
93,54
94,61
95,83
96,28
97,2
98,23
99,81
100,31
101,90
102,72
103,78
104,39
105,64
106,93
107,90
108,45
109,39
110,68
111,99
112,97
113,43
114,72
115,23
116,27
117,72
118,26
119,86
120,28
121,80
122,10
123,95
124,36
125,25
126,53
127,78
128,65
129,1
130,30
131,83
132,3
133,40
134,1
135,55
136,14
137,13
138,98
139,26
140,55
141,12
142,83
143,14
144,28
145,9
146,24
147,92
148,68
149,99
150,36
151,5
152,40
153,67
154,5
155,84
156,5
157,78
158,6
159,85
160,61
161,57
162,56
163,5
164,59
165,45
166,47
167,22
168,28
169,98
170,66
171,20
172,64
173,51
174,40
175,49
176,39
177,29
178,47
179,41
180,84
181,54
182,59
183,14
184,31
185,21
186,52
187,75
188,5
189,95
190,43
191,36
192,38
193,91
194,9
195,96
196,57
197,3
198,20
199,35
200,53
201,38
202,48
203,10
204,12
205,72
206,4
207,58
208,37
209,41
210,15
211,48
212,48
213,88
214,38
215,65
216,87
217,24
218,24
219,44
220,44
221,64
222,12
223,58
224,89
225,97
226,32
227,14
228,88
229,40
230,78
231,16
232,78
233,88
234,27
235,19
236,48
237,31
238,28
239,67
240,11
241,23
242,9
243,10
244,89
245,55
246,69
247,16
248,42
249,30
250,49
251,97
252,97
253,41
254,11
255,1
256,10
257,58
258,32
259,72
260,83
261,64
262,83
263,20
264,7
265,26
266,26
267,79
268,27
269,33
270,5
271,18
272,87
273,8
274,56
275,85
276,16
277,10
278,98
279,80
280,45
281,63
282,7
283,35
284,47
285,98
286,96
287,64
288,19
289,96
290,32
291,46
292,11
293,94
294,28
295,69
296,98
297,21
298,39
299,53
300,16
301,62
