# Edges: fromIndex, toIndex, edgeCost
0,6,32
0,8,56
0,9,79
0,10,94
0,15,35
0,17,63
0,20,71
0,21,91
0,23,38
0,26,89
0,27,46
0,28,60
0,29,39
0,30,73
0,31,10
0,33,7
0,35,45
0,36,27
0,37,50
0,43,60
0,44,26
0,54,59
0,55,70
0,62,66
0,68,51
0,70,49
0,72,37
0,73,62
0,75,55
0,77,74
0,86,37
0,88,85
0,93,71
0,94,38
0,98,57
0,99,63
1,5,84
1,6,27
1,7,29
1,8,92
1,10,67
1,11,62
1,12,50
1,14,82
1,23,72
1,24,57
1,25,18
1,27,32
1,29,30
1,31,49
1,33,57
1,38,58
1,41,56
1,42,41
1,46,50
1,48,23
1,49,24
1,53,83
1,56,72
1,60,84
1,62,41
1,63,17
1,65,7
1,66,19
1,69,58
1,72,23
1,74,44
1,77,19
1,82,34
1,84,82
1,85,50
1,86,53
1,88,61
1,93,65
1,94,76
1,97,20
2,3,18
2,7,78
2,8,65
2,15,32
2,18,44
2,23,52
2,25,54
2,26,24
2,28,18
2,30,64
2,36,94
2,39,59
2,41,22
2,43,41
2,44,42
2,46,30
2,47,47
2,48,65
2,50,68
2,51,23
2,52,9
2,54,48
2,55,22
2,56,95
2,57,42
2,58,37
2,64,69
2,70,48
2,73,67
2,74,83
2,79,32
2,80,38
2,81,65
2,83,38
2,85,79
2,86,34
2,87,11
2,88,17
2,91,14
2,92,23
2,94,57
2,95,2
2,96,10
2,98,28
3,17,17
3,19,82
3,21,44
3,22,77
3,26,41
3,28,1
3,29,34
3,33,55
3,36,88
3,38,83
3,41,40
3,43,54
3,46,49
3,47,54
3,48,71
3,49,84
3,50,55
3,55,40
3,57,45
3,63,71
3,71,24
3,72,65
3,75,7
3,77,64
3,80,28
3,82,74
3,83,46
3,85,78
3,86,23
3,87,29
3,92,9
3,93,10
3,97,69
3,98,9
3,99,38
4,5,72
4,7,53
4,8,74
4,12,30
4,13,60
4,14,62
4,15,22
4,16,55
4,17,22
4,18,49
4,20,30
4,25,31
4,26,38
4,27,12
4,29,16
4,30,40
4,32,44
4,33,53
4,35,15
4,38,67
4,43,17
4,44,30
4,45,49
4,46,35
4,54,23
4,57,23
4,59,19
4,60,62
4,61,32
4,62,18
4,63,34
4,68,67
4,70,57
4,72,36
4,73,42
4,74,60
4,78,41
4,81,58
4,83,14
4,87,29
4,88,38
4,96,25
4,97,38
5,7,107
5,9,113
5,10,94
5,13,55
5,15,49
5,20,97
5,24,45
5,28,54
5,29,56
5,34,29
5,35,69
5,37,32
5,45,26
5,48,77
5,49,106
5,53,60
5,55,83
5,56,59
5,58,34
5,59,87
5,60,43
5,61,39
5,62,73
5,65,89
5,67,31
5,76,88
5,88,86
5,91,80
5,94,13
5,98,46
