# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,59
1,73
2,27
3,74
4,4
5,64
6,98
7,67
8,52
9,32
10,29
11,86
12,43
13,26
14,49
15,31
16,99
17,83
18,42
19,46
20,43
21,66
22,96
23,95
24,1
25,73
26,48
27,94
28,82
29,44
30,25
31,36
32,67
33,11
34,34
35,84
36,84
37,95
38,68
39,83
40,62
41,48
42,52
43,2
44,57
45,35
46,49
47,74
48,52
49,25
50,51
51,51
52,87
53,65
54,23
55,50
56,75
57,31
58,93
59,81
60,62
61,32
62,51
63,59
64,55
65,45
66,38
67,12
68,47
69,58
70,18
71,34
72,20
73,48
74,15
75,0
76,40
77,76
78,74
79,83
80,11
81,0
82,5
83,71
84,92
85,75
86,30
87,90
88,14
89,8
90,88
91,73
92,97
93,87
94,65
95,23
96,28
97,87
98,30
99,86
100,29
101,91
102,55
103,20
104,82
105,47
106,45
107,61
108,46
109,82
110,43
111,90
112,34
113,42
114,45
115,83
116,70
117,77
118,99
119,45
120,83
121,5
122,62
123,76
124,52
125,87
126,35
127,95
128,93
129,76
130,71
131,23
132,5
133,10
134,48
135,13
136,87
137,5
138,29
139,56
140,48
141,26
142,45
143,47
144,31
145,78
146,3
147,34
148,48
149,87
150,54
151,30
152,94
153,32
154,44
155,34
156,64
157,5
158,55
159,85
160,46
161,30
162,56
163,19
164,20
165,27
166,5
167,11
168,35
169,4
170,13
171,10
172,4
173,69
174,77
175,67
176,50
177,25
178,32
179,91
180,72
181,71
182,8
183,39
184,85
185,8
186,77
187,5
188,91
189,90
190,99
191,38
192,50
193,75
194,8
195,22
196,47
197,46
198,10
199,6
200,68
201,43
202,64
203,98
204,21
205,2
206,12
207,99
208,36
209,64
210,10
211,88
212,33
213,36
214,85
215,74
216,58
217,0
218,70
219,84
220,54
221,23
222,74
223,11
224,72
225,98
226,3
227,51
228,5
229,73
230,67
231,52
232,19
233,43
234,67
235,11
236,10
237,0
238,84
239,71
240,11
241,71
242,40
243,59
244,17
245,68
246,4
247,25
248,65
249,70
250,41
251,25
252,38
253,73
254,59
255,75
256,55
257,56
258,17
259,99
260,60
261,60
262,28
263,74
264,74
265,61
266,37
267,79
268,69
269,44
270,81
271,5
272,52
273,8
274,52
275,28
276,8
277,51
278,39
279,34
280,34
281,46
282,57
283,28
284,11
285,53
286,7
287,14
288,22
289,93
290,76
291,21
292,83
293,78
294,84
295,67
296,71
297,96
298,82
299,64
300,35
301,63
302,29
303,0
304,66
305,59
306,3
307,56
308,99
309,85
310,41
311,60
312,12
313,16
314,72
315,50
316,36
317,74
318,35
319,67
320,71
321,86
322,95
323,62
324,87
325,16
326,40
327,78
328,38
329,32
330,25
331,15
332,23
333,59
334,53
335,37
336,0
337,12
338,88
339,81
340,28
341,3
342,72
343,65
344,93
345,53
346,82
347,36
348,48
349,85
350,79
351,56
352,48
353,66
354,98
355,10
356,73
357,84
358,68
359,34
360,17
361,85
362,70
363,56
364,83
365,87
366,39
367,76
368,76
369,54
370,41
371,98
372,23
373,5
374,71
375,70
376,47
377,66
378,61
379,13
380,66
381,52
382,98
383,5
384,36
385,53
386,53
387,97
388,8
389,31
390,70
391,56
392,24
393,51
394,86
395,24
396,98
397,60
398,75
399,17
400,76
401,73
402,27
403,51
404,62
405,60
406,44
407,16
408,2
409,70
410,0
411,51
412,69
413,96
414,6
415,93
416,92
417,96
418,59
419,37
420,14
421,55
422,36
423,52
424,97
425,17
426,57
427,78
428,65
429,33
430,30
431,22
432,34
433,27
434,17
435,47
436,59
437,60
438,75
439,17
440,39
441,83
442,26
443,13
444,58
445,80
446,83
447,34
448,23
449,66
450,91
451,58
452,28
453,56
454,82
455,58
456,91
457,65
458,7
459,2
460,36
461,19
462,99
463,6
464,78
465,54
466,69
467,91
468,61
469,86
470,11
471,5
472,1
473,34
474,78
475,18
476,36
477,22
478,0
479,78
480,34
481,89
482,7
483,52
484,76
485,43
486,91
487,31
488,27
489,89
490,12
491,45
492,54
493,32
494,63
495,46
496,76
497,44
498,86
499,52
500,66
501,63
502,45
503,25
504,89
505,68
506,99
507,54
508,21
509,9
510,75
511,40
512,31
513,14
514,24
515,9
516,92
517,90
518,82
519,19
520,48
521,83
522,57
523,31
524,23
525,65
526,14
527,98
528,94
529,30
530,89
531,3
532,12
533,68
534,96
535,6
536,48
537,28
538,37
539,79
540,50
541,50
542,65
543,38
544,34
545,72
546,6
547,43
548,90
549,31
550,12
551,75
552,59
553,52
554,32
555,81
556,62
557,81
558,42
559,65
560,54
561,84
562,28
563,15
564,27
565,58
566,29
567,12
568,36
569,21
570,2
571,21
572,65
573,82
574,75
575,74
576,32
577,11
578,81
579,49
580,40
581,58
582,89
583,97
584,2
585,2
586,54
587,36
588,33
589,69
590,6
591,3
592,74
593,42
594,78
595,13
596,46
597,16
598,7
599,32
600,49
601,67
602,10
603,74
604,56
605,46
606,77
607,2
608,99
609,38
610,68
611,59
612,95
613,11
614,64
615,63
616,14
617,46
618,91
619,82
620,23
621,33
622,87
623,65
624,58
625,10
626,62
627,0
628,47
629,46
630,9
631,61
632,11
633,53
634,15
635,24
636,53
637,7
638,87
639,27
640,34
641,48
642,76
643,40
644,66
645,86
646,27
647,73
648,75
649,76
650,61
651,26
652,66
653,3
654,29
655,8
656,94
657,90
658,25
659,92
660,38
661,90
662,62
663,43
664,53
665,34
666,88
667,92
668,15
669,14
670,89
671,68
672,18
673,39
674,19
675,39
676,9
677,31
678,42
679,8
680,36
681,89
682,30
683,93
684,25
685,74
686,42
687,8
688,28
689,71
690,60
691,22
692,25
693,25
694,48
695,25
696,5
697,56
698,73
699,97
700,58
701,28
702,22
703,81
704,11
705,0
706,27
707,77
708,66
709,84
710,28
711,47
712,70
713,10
714,77
715,67
716,34
717,0
718,54
719,48
720,28
721,61
722,5
723,81
724,66
725,28
726,73
727,90
728,2
729,89
730,69
731,32
732,42
733,15
734,8
735,61
736,41
737,20
738,24
739,16
740,88
741,4
742,90
743,12
744,20
745,40
746,85
747,49
748,10
749,37
750,12
751,19
752,53
753,37
754,45
755,90
756,52
757,8
758,52
759,18
760,7
761,6
762,76
763,31
764,16
765,85
766,64
767,93
768,19
769,77
770,31
771,86
772,97
773,18
774,10
775,54
776,4
777,73
778,38
779,23
780,19
781,52
782,5
783,93
784,9
785,87
786,42
787,60
788,47
789,65
790,89
791,41
792,37
793,14
794,58
795,81
796,49
797,93
798,80
799,25
800,20
801,92
802,43
803,92
804,63
805,25
806,22
807,37
808,18
809,11
810,17
811,54
812,11
813,83
814,40
815,18
816,79
817,42
818,33
819,39
820,64
821,4
822,32
823,9
824,33
825,82
826,22
827,95
828,74
829,30
830,71
831,42
832,4
833,97
834,38
835,98
836,51
837,88
838,25
839,61
840,32
841,39
842,18
843,35
844,2
845,64
846,24
847,18
848,90
849,23
850,94
851,52
852,13
853,43
854,2
855,9
856,57
857,33
858,11
859,73
860,6
861,32
862,84
863,28
864,7
865,45
866,57
867,74
868,12
869,1
870,39
871,34
872,47
873,60
874,81
875,87
876,1
877,60
878,17
879,14
880,89
881,59
882,47
883,83
884,75
885,82
886,33
887,71
888,77
889,87
890,75
891,18
892,13
893,54
894,48
895,32
896,71
897,69
898,64
899,23
900,81
901,13
902,78
903,70
904,51
905,20
906,94
907,23
908,32
909,83
910,90
911,80
912,96
913,36
914,57
915,93
916,23
917,42
918,61
919,80
920,84
921,35
922,49
923,0
924,37
925,49
926,91
927,51
928,6
929,7
930,7
931,83
932,71
933,20
934,46
935,43
936,47
937,97
938,2
939,41
940,59
941,66
942,40
943,94
944,82
945,7
946,48
947,51
948,92
949,19
950,63
951,39
952,15
953,39
954,82
955,83
956,46
957,28
958,77
959,11
960,82
961,73
962,19
963,40
964,98
965,65
966,61
967,13
968,86
969,90
970,49
971,2
972,38
973,56
974,1
975,25
976,66
977,38
978,48
979,68
980,15
981,13
982,1
983,37
984,80
985,64
986,2
987,25
988,48
989,79
990,75
991,66
992,28
993,86
994,86
995,9
996,2
997,9
998,26
999,85
