# Edges: fromIndex, toIndex, edgeCost
0,3,57
0,19,30
0,26,20
0,29,56
0,48,76
0,57,86
0,70,39
0,71,55
0,87,105
0,90,33
0,100,34
0,115,70
0,123,34
0,129,38
0,138,29
0,141,47
0,143,22
0,149,37
0,154,55
0,173,12
0,185,54
0,189,97
0,199,65
0,211,31
0,220,52
0,226,78
0,244,44
0,283,34
0,287,66
0,288,75
0,292,71
0,317,61
0,346,73
0,363,34
0,370,84
0,391,31
0,421,43
0,441,70
0,448,65
0,455,8
0,458,52
0,459,85
0,482,61
0,483,70
0,501,65
0,509,50
0,524,68
0,530,27
0,538,28
0,546,58
0,553,70
0,580,95
0,598,58
0,623,47
0,634,60
0,647,60
0,661,95
0,674,45
0,679,51
0,705,110
0,706,42
0,715,24
0,716,53
0,722,68
0,724,37
0,740,29
0,745,88
0,750,82
0,764,49
0,783,69
0,785,36
0,795,90
0,797,74
0,800,101
0,824,71
0,842,40
0,848,102
0,851,75
0,855,51
0,858,94
0,859,65
0,866,21
0,869,95
0,872,27
0,882,30
0,886,64
0,903,89
0,906,67
0,912,52
0,915,77
0,919,97
0,925,7
0,938,94
0,955,71
0,963,92
0,988,14
1,6,52
1,7,42
1,15,39
1,29,26
1,49,47
1,53,18
1,56,23
1,58,26
1,68,50
1,70,76
1,101,33
1,105,44
1,106,37
1,119,34
1,134,55
1,136,41
1,138,78
1,152,28
1,156,18
1,161,51
1,163,83
1,164,54
1,176,28
1,187,72
1,196,52
1,200,55
1,220,17
1,221,49
1,252,61
1,263,12
1,266,52
1,271,68
1,274,16
1,276,80
1,281,42
1,291,47
1,294,18
1,301,5
1,307,39
1,320,19
1,323,12
1,324,44
1,340,72
1,354,55
1,366,65
1,373,69
1,385,15
1,399,68
1,405,25
1,412,60
1,436,58
1,453,31
1,455,58
1,463,73
1,464,54
1,465,21
1,468,23
1,472,66
1,476,49
1,482,78
1,488,57
1,491,31
1,492,17
1,493,40
1,495,44
1,496,29
1,504,59
1,508,46
1,510,21
1,511,36
1,524,49
1,527,53
1,534,37
1,538,53
1,539,59
1,544,37
1,548,33
1,555,22
1,583,44
1,593,32
1,613,64
1,645,31
1,658,51
1,660,65
1,682,45
1,685,8
1,687,81
1,691,49
1,721,22
1,727,32
1,737,51
1,746,28
1,752,11
1,761,75
1,771,38
1,784,92
1,788,47
1,798,33
1,800,57
1,804,6
1,818,32
1,826,48
1,842,77
1,853,27
1,869,66
1,874,18
1,884,20
1,896,17
1,899,41
1,927,19
1,930,74
1,931,19
1,947,25
1,948,27
1,957,67
1,960,13
1,964,53
1,979,54
1,981,57
1,992,66
1,996,62
2,6,64
2,22,66
2,51,61
2,65,25
2,72,66
2,77,44
2,90,60
2,100,29
2,121,29
2,128,76
2,129,41
2,134,22
2,141,8
2,143,19
2,145,45
2,150,40
2,151,61
2,154,33
2,160,16
2,164,69
2,165,9
2,166,26
2,206,44
2,214,55
2,218,79
2,219,62
2,231,57
2,243,36
2,267,50
2,276,25
2,279,29
2,301,50
2,303,73
2,323,63
2,329,45
2,342,61
2,364,66
2,367,48
2,369,36
2,376,18
2,388,27
2,400,50
2,407,12
2,408,55
2,436,32
2,440,24
2,463,23
2,493,45
2,511,68
2,514,24
2,532,46
2,554,49
2,558,50
2,580,69
2,594,53
2,613,60
2,621,38
2,640,25
2,660,18
2,663,36
2,668,25
2,669,30
2,673,21
2,688,17
2,704,61
2,705,74
2,721,68
2,736,53
2,738,20
2,764,12
2,800,68
2,806,43
2,832,34
2,869,58
2,876,61
2,922,25
2,929,24
2,930,22
2,938,57
2,946,22
2,949,30
2,972,20
2,973,23
2,976,35
3,27,13
3,76,49
3,92,30
3,94,15
3,95,51
3,108,37
3,113,41
3,119,37
3,121,72
3,128,21
3,134,50
3,143,44
3,158,27
3,166,74
3,170,67
3,173,47
3,187,78
3,198,77
3,256,26
3,265,36
3,276,81
3,310,40
3,325,63
3,353,25
3,385,27
3,404,27
3,405,39
3,413,26
3,430,58
3,448,50
3,464,44
3,468,36
3,486,29
3,492,20
3,512,55
3,539,48
3,549,50
3,553,32
3,581,43
3,592,4
3,599,52
3,604,32
3,606,32
3,616,65
3,617,42
3,624,42
3,633,23
3,668,66
3,673,67
3,695,59
3,711,45
3,714,28
3,724,21
3,733,66
3,749,54
3,782,78
3,800,70
3,810,73
3,817,38
3,820,14
3,822,47
3,829,58
3,837,40
3,843,48
3,846,51
3,854,79
3,877,38
3,901,61
3,914,42
3,921,45
3,945,82
3,948,25
3,956,39
3,961,13
3,992,64
4,5,56
4,23,87
4,26,56
4,48,54
4,53,61
4,67,21
4,84,89
4,88,7
4,102,54
4,111,99
4,115,81
4,117,80
4,127,87
4,132,15
4,143,56
4,150,53
4,152,93
4,154,43
4,172,3
4,187,16
4,195,24
4,204,35
4,213,37
4,220,53
4,233,41
4,237,32
4,253,69
4,255,67
4,267,87
4,272,49
4,289,88
4,291,36
4,296,72
4,298,78
4,307,53
4,312,16
4,314,75
4,317,73
4,320,73
4,322,95
4,338,87
4,343,65
4,349,86
4,355,38
4,359,27
4,368,76
4,387,95
4,398,68
4,404,60
4,431,26
4,435,48
