# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,26
1,61
2,12
3,83
4,12
5,65
6,33
7,84
8,10
9,85
10,66
11,80
12,47
13,89
14,16
15,86
16,42
17,36
18,24
19,28
20,4
21,15
22,71
23,88
24,56
25,85
26,32
27,35
28,15
29,92
30,36
31,15
32,62
33,88
34,20
35,1
36,38
37,78
38,98
39,13
40,20
41,16
42,82
43,65
44,41
45,27
46,42
47,75
48,72
49,31
50,20
51,52
52,99
53,45
54,96
55,61
56,25
57,80
58,94
59,62
60,23
61,59
62,74
63,90
64,14
65,24
66,14
67,2
68,87
69,42
70,80
71,84
72,21
73,17
74,67
75,62
76,67
77,48
78,57
79,62
80,73
81,50
82,34
83,51
84,89
85,44
86,4
87,28
88,31
89,61
90,25
91,29
92,45
93,94
94,55
95,45
96,42
97,11
98,54
99,31
100,93
101,65
102,98
103,0
104,94
105,42
106,32
107,95
108,52
109,54
110,5
111,97
112,81
113,37
114,66
115,88
116,64
117,72
118,39
119,44
120,99
121,22
122,63
123,70
124,32
125,35
126,27
127,24
128,37
129,7
130,20
131,22
132,77
133,86
134,10
135,24
136,12
137,47
138,43
139,15
140,37
141,29
142,84
143,9
144,13
145,84
146,21
147,28
148,91
149,49
150,73
151,68
152,77
153,89
154,19
155,19
156,14
157,47
158,54
159,30
160,38
161,30
162,25
163,78
164,82
165,40
166,20
167,69
168,54
169,21
170,61
171,36
172,67
173,38
174,96
175,40
176,6
177,94
178,19
179,20
180,84
181,21
182,35
183,57
184,9
185,57
186,80
187,59
188,31
189,78
190,41
191,63
192,95
193,3
194,57
195,5
196,73
197,52
198,27
199,14
