# Edges: fromIndex, toIndex, edgeCost
0,1,66
0,3,68
0,5,39
0,12,26
0,14,6
0,16,48
0,17,15
0,27,20
0,30,13
0,34,60
0,40,60
0,43,40
0,45,13
0,49,45
0,53,28
0,58,74
0,59,57
0,60,31
0,62,58
0,70,87
0,71,64
0,72,52
0,76,48
0,77,35
0,81,60
0,88,45
0,89,58
0,104,75
0,106,43
0,108,52
0,109,33
0,112,79
0,113,19
0,115,70
0,116,47
0,119,30
0,124,40
0,129,22
0,132,55
0,133,63
0,135,16
0,140,23
0,142,67
0,143,35
0,146,50
0,153,74
0,158,39
0,162,10
0,163,53
0,166,61
0,168,38
0,171,15
0,175,67
0,177,78
0,180,64
0,182,16
0,185,36
0,186,89
0,188,51
0,189,57
0,194,36
0,195,13
1,2,57
1,3,25
1,4,58
1,8,57
1,15,56
1,21,69
1,22,6
1,25,36
1,28,69
1,31,65
1,34,45
1,36,79
1,37,70
1,38,71
1,40,45
1,46,22
1,48,16
1,49,35
1,50,50
1,51,13
1,54,58
1,55,1
1,56,57
1,58,37
1,59,10
1,60,44
1,64,59
1,66,57
1,68,58
1,73,82
1,75,14
1,82,43
1,83,9
1,86,73
1,91,92
1,92,41
1,95,48
1,96,30
1,99,33
1,102,72
1,105,23
1,106,32
1,109,34
1,110,74
1,121,46
1,123,11
1,137,62
1,139,68
1,146,40
1,150,16
1,151,69
1,152,62
1,154,97
1,156,61
1,158,30
1,163,67
1,164,15
1,165,23
1,168,29
1,169,40
1,173,75
1,175,25
1,178,92
1,182,53
1,187,75
1,192,51
1,197,15
2,4,3
2,7,76
2,8,20
2,11,78
2,13,99
2,20,27
2,31,35
2,33,97
2,34,23
2,35,6
2,36,70
2,41,41
2,46,35
2,47,70
2,50,18
2,53,47
2,55,57
2,57,77
2,60,18
2,62,70
2,67,10
2,70,78
2,71,73
2,73,57
2,82,36
2,84,107
2,85,40
2,86,25
2,87,68
2,94,58
2,99,23
2,101,63
2,103,17
2,105,38
2,106,24
2,107,87
2,114,72
2,115,99
2,117,59
2,121,15
2,125,45
2,128,57
2,129,58
2,131,16
2,132,85
2,134,16
2,144,16
2,146,18
2,149,78
2,153,107
2,164,72
2,166,25
2,167,90
2,168,46
2,169,20
2,170,48
2,175,42
2,177,88
2,183,69
2,187,84
2,190,32
2,192,93
2,194,67
2,196,64
3,5,31
3,6,51
3,7,6
3,9,22
3,14,74
3,22,24
3,24,40
3,26,55
3,27,48
3,29,12
3,38,46
3,50,72
3,51,29
3,52,58
3,57,32
3,66,67
3,67,84
3,68,35
3,69,40
3,76,38
3,78,48
3,79,26
3,81,43
3,83,32
3,92,40
3,95,45
3,102,47
3,107,20
3,108,29
3,115,48
3,117,19
3,120,55
3,126,74
3,129,89
3,144,72
3,145,12
3,146,61
3,148,27
3,150,15
3,151,54
3,152,42
3,154,94
3,159,60
3,160,69
3,164,16
3,166,66
3,169,62
3,177,14
3,178,87
3,179,69
3,181,61
3,182,52
3,183,46
3,184,102
3,185,47
3,187,61
3,188,59
3,190,50
3,194,43
4,5,59
4,8,24
4,9,84
4,14,44
4,15,90
4,17,46
4,19,64
4,22,64
4,24,61
4,29,82
4,31,32
4,32,53
4,33,95
4,40,26
4,41,38
4,44,37
4,45,52
4,46,36
4,48,66
4,60,17
4,61,82
4,63,81
4,64,18
4,65,24
4,66,18
4,73,54
4,82,34
4,85,39
4,86,21
4,92,46
4,95,49
4,98,49
4,99,25
4,104,88
4,115,98
4,116,58
4,118,72
4,120,105
4,121,14
4,123,69
4,125,43
4,127,22
4,131,17
4,135,24
4,138,37
4,139,33
4,140,61
4,142,76
4,143,71
4,148,87
4,149,75
4,150,60
4,154,70
4,156,20
4,157,57
4,161,32
4,162,33
4,163,84
4,164,73
4,167,88
4,175,44
4,180,78
4,183,67
4,184,74
4,192,92
4,193,14
4,194,65
5,7,28
5,9,27
5,13,40
5,15,30
5,16,37
5,18,41
5,23,36
5,24,8
5,26,44
5,27,22
5,37,32
5,40,65
5,42,41
5,43,3
5,45,40
5,49,46
5,50,66
5,51,32
5,55,42
5,57,58
5,63,56
5,64,48
5,65,38
5,66,45
5,68,29
5,71,26
5,74,16
5,75,27
5,77,29
5,85,21
5,86,61
5,87,44
5,88,46
5,94,3
5,101,2
5,103,77
5,111,42
5,117,35
5,121,45
5,122,23
5,126,43
5,129,58
5,130,63
5,137,23
5,141,48
5,144,51
5,149,37
5,155,60
5,157,23
5,161,55
5,167,36
5,168,16
5,172,20
5,173,38
5,174,32
5,177,38
5,180,24
5,187,34
5,189,28
6,14,35
6,15,64
6,27,15
6,29,60
6,34,34
6,39,17
6,46,18
6,47,43
6,55,40
6,58,60
6,63,63
6,64,19
6,70,62
6,74,48
6,90,24
6,91,62
6,92,21
6,98,23
6,103,43
6,104,63
6,111,76
6,118,57
6,121,11
6,122,30
6,123,52
6,126,41
6,129,50
6,130,31
6,132,59
6,138,12
6,139,28
6,140,43
6,149,56
6,150,36
6,154,62
6,156,20
6,158,23
6,159,34
6,162,18
6,166,34
6,168,20
6,169,26
6,174,64
6,177,64
6,179,36
6,181,24
6,183,43
6,184,69
6,187,60
6,188,25
6,189,61
6,191,28
6,193,28
6,196,41
7,13,48
7,17,51
7,19,79
7,27,47
7,29,17
7,32,27
7,33,40
7,35,83
7,36,67
7,37,45
7,41,78
7,45,68
7,49,56
7,54,28
7,56,58
7,58,8
7,62,8
7,65,61
7,66,67
7,67,86
7,71,3
7,72,67
7,75,25
7,76,32
