# Edges: fromIndex, toIndex, edgeCost
0,1,72
0,9,67
0,11,77
0,12,76
0,14,51
0,18,83
0,20,18
0,22,76
0,23,57
0,25,51
0,27,63
0,28,64
0,29,65
0,30,59
0,33,87
0,37,50
0,38,59
0,39,54
0,41,52
0,43,14
0,45,59
0,49,115
0,63,7
0,67,65
0,75,70
0,83,98
0,84,75
0,86,82
0,90,54
0,93,75
0,94,60
0,96,48
0,98,76
1,4,61
1,6,60
1,11,64
1,12,80
1,16,33
1,17,16
1,20,54
1,21,38
1,24,60
1,30,46
1,33,74
1,34,84
1,37,25
1,42,71
1,49,55
1,50,44
1,51,40
1,59,19
1,63,68
1,67,80
1,72,65
1,75,81
1,76,82
1,78,18
1,80,20
1,84,86
1,87,40
1,88,13
1,90,45
1,92,62
1,95,26
2,5,16
2,7,52
2,19,50
2,23,52
2,27,70
2,28,18
2,30,55
2,31,20
2,32,29
2,33,87
2,43,46
2,44,87
2,45,11
2,53,84
2,56,49
2,57,65
2,59,42
2,61,39
2,63,48
2,69,47
2,70,67
2,71,39
2,73,41
2,75,85
2,76,62
2,77,21
2,80,50
2,83,63
2,84,91
2,85,50
2,91,91
2,95,46
2,98,48
2,99,47
3,6,44
3,7,35
3,8,50
3,12,52
3,17,41
3,18,34
3,23,24
3,27,39
3,28,43
3,32,33
3,38,28
3,40,19
3,43,64
3,44,46
3,55,37
3,58,11
3,68,26
3,69,22
3,71,33
3,77,34
3,79,46
3,86,22
3,90,26
3,91,56
3,97,58
4,9,53
4,10,45
4,11,40
4,13,64
4,16,94
4,18,35
4,22,89
4,26,94
4,27,54
4,28,73
4,30,47
4,40,16
4,41,85
4,42,28
4,44,48
4,55,63
4,57,24
4,59,69
4,61,70
4,62,37
4,68,8
4,69,50
4,71,57
4,72,35
4,73,45
4,79,77
4,81,49
4,82,44
4,83,36
4,92,79
4,94,53
4,96,87
4,97,88
4,98,38
5,6,75
5,11,62
5,13,46
5,15,39
5,16,29
5,18,66
5,20,36
5,21,54
5,22,31
5,28,11
5,29,47
5,30,41
5,32,16
5,38,9
5,46,40
5,47,64
5,49,69
5,52,16
5,54,47
5,57,49
5,64,47
5,65,36
5,68,64
5,69,34
5,73,24
5,75,74
5,78,17
5,85,52
5,90,38
5,93,48
6,10,60
6,12,83
6,16,92
6,20,104
6,22,84
6,23,67
6,27,77
6,31,72
6,32,62
6,33,66
6,36,92
6,42,54
6,43,109
6,49,5
6,52,89
6,74,28
6,75,89
6,80,47
6,83,28
6,87,68
6,97,103
7,10,45
7,11,69
7,13,71
7,17,37
7,21,19
7,24,79
7,31,37
7,34,90
7,35,22
7,38,34
7,39,74
7,40,36
7,42,71
7,47,32
7,49,39
7,50,43
7,51,57
7,53,89
7,59,17
7,60,54
7,61,63
7,69,52
7,72,68
7,74,44
7,75,90
7,76,101
7,78,32
7,79,41
7,81,17
7,87,53
7,92,79
7,99,73
8,14,72
8,17,69
8,19,35
8,21,85
8,26,88
8,30,26
8,32,72
8,39,9
8,43,44
8,45,82
8,46,52
8,47,84
8,49,84
8,52,60
8,60,78
8,62,69
8,66,20
8,67,9
8,71,77
8,77,63
8,79,71
8,80,85
8,81,67
8,86,70
8,89,45
8,92,26
8,94,51
9,14,73
9,21,75
9,23,23
9,25,44
9,29,18
9,30,21
9,31,59
9,32,68
9,33,20
9,36,18
9,38,56
9,42,31
9,43,53
9,48,21
9,49,73
9,50,39
9,51,35
9,58,33
9,64,49
9,65,56
9,66,20
9,70,44
9,78,50
9,80,79
9,81,61
9,83,68
9,84,18
9,86,63
9,87,28
9,88,55
9,90,23
9,92,36
10,12,45
10,21,49
10,26,58
10,32,34
10,42,42
10,44,42
10,45,52
10,47,52
10,49,54
10,51,17
10,53,45
10,55,22
10,59,53
10,61,25
10,68,38
10,69,7
10,78,16
10,79,40
10,80,46
10,82,36
11,12,18
11,13,31
11,16,92
11,18,6
11,22,91
11,23,24
11,24,55
11,26,90
11,30,21
11,31,59
11,32,65
11,37,50
11,41,77
11,43,63
11,46,36
11,49,61
11,50,28
11,51,39
11,54,56
11,58,24
11,59,81
11,61,43
11,64,58
11,70,34
11,73,44
11,78,47
11,83,59
11,84,27
11,90,26
11,94,46
11,99,45
12,14,86
12,15,46
12,18,21
12,23,36
12,25,56
12,29,29
12,30,33
12,36,9
12,37,61
12,38,68
12,40,60
12,42,30
12,43,63
12,45,95
12,49,79
12,52,75
12,53,7
12,55,39
12,56,51
12,60,92
12,66,32
12,68,50
12,76,69
12,78,62
12,85,67
12,87,41
12,94,60
12,95,55
12,97,62
13,21,75
13,27,18
13,28,57
13,30,17
13,31,44
13,36,34
13,38,42
13,43,31
13,46,44
13,48,43
13,50,45
13,53,29
13,54,65
13,57,41
13,59,76
13,65,53
13,71,63
13,73,41
13,77,46
13,78,39
13,83,68
13,88,44
13,91,37
13,93,33
13,97,29
13,99,14
14,16,20
14,17,11
14,18,79
14,23,50
14,30,53
14,34,91
14,38,23
14,43,48
14,50,63
14,54,58
