# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,10
1,83
2,60
3,66
4,79
5,62
6,99
7,94
8,16
9,27
10,55
11,37
12,18
13,24
14,61
15,23
16,80
17,72
18,38
19,45
20,31
21,96
22,90
23,45
24,22
25,53
26,70
27,26
28,72
29,36
30,45
31,62
32,73
33,39
34,18
35,92
36,7
37,53
38,63
39,25
40,77
41,61
42,49
43,11
44,28
45,70
46,66
47,98
48,19
49,98
50,67
51,44
52,51
53,17
54,86
55,34
56,12
57,57
58,57
59,93
60,60
61,33
62,86
63,11
64,12
65,76
66,35
67,7
68,68
69,45
70,67
71,84
72,38
73,65
74,68
75,7
76,1
77,62
78,64
79,61
80,94
81,74
82,85
83,96
84,8
85,11
86,85
87,45
88,64
89,56
90,35
91,18
92,13
93,57
94,64
95,65
96,60
97,21
98,75
99,23
