# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,51
1,18
2,0
3,64
4,6
5,77
6,20
7,94
8,5
9,88
10,53
11,7
12,31
13,14
14,94
15,77
16,19
17,61
18,85
19,54
20,10
21,76
22,18
23,86
24,19
25,89
26,31
27,70
28,83
29,4
30,26
31,41
32,87
33,42
34,45
35,80
36,58
37,63
38,88
39,40
40,98
41,52
42,82
43,53
44,84
45,94
46,70
47,41
48,74
49,43
50,46
51,99
52,73
53,82
54,17
55,60
56,92
57,38
58,81
59,57
60,46
61,74
62,70
63,88
64,21
65,52
66,21
67,92
68,4
69,80
70,89
71,16
72,86
73,26
74,65
75,50
76,57
77,70
78,81
79,53
80,24
81,77
82,58
83,63
84,22
85,45
86,22
87,74
88,70
89,78
90,67
91,16
92,30
93,49
94,58
95,2
96,24
97,20
98,49
99,71
100,42
101,6
102,35
103,90
104,34
105,34
106,41
107,81
108,66
109,88
110,82
111,6
112,60
113,87
114,38
115,87
116,77
117,80
118,91
119,59
120,49
121,35
122,64
123,11
124,63
125,34
126,52
127,82
128,25
129,11
130,87
131,14
132,84
133,6
134,14
135,35
136,74
137,36
138,82
139,56
140,13
141,82
142,65
143,38
144,9
145,17
146,40
147,70
148,72
149,59
150,37
151,44
152,69
153,95
154,23
155,64
156,37
157,25
158,54
159,73
160,10
161,63
162,2
163,55
164,41
165,22
166,69
167,23
168,45
169,23
170,6
171,3
172,92
173,56
174,98
175,57
176,55
177,29
178,5
179,84
180,61
181,12
182,6
183,8
184,56
185,84
186,96
187,12
188,94
189,26
190,6
191,53
192,14
193,34
194,1
195,78
196,7
197,39
198,48
199,1
