# Edges: fromIndex, toIndex, edgeCost
0,1,32
0,2,70
0,3,111
0,8,44
0,9,36
0,11,105
0,13,38
0,16,27
0,19,78
0,21,96
0,26,33
0,27,53
0,29,78
0,33,70
0,35,83
0,38,22
0,40,91
0,47,31
0,48,99
0,50,71
0,51,40
0,55,62
0,56,26
0,57,45
0,62,66
0,67,96
0,68,66
0,69,66
0,74,52
0,78,29
0,81,55
0,82,89
0,91,65
0,95,95
0,96,70
0,98,80
0,100,47
0,101,92
0,105,80
0,106,23
0,107,6
0,108,82
0,111,89
0,114,37
0,116,43
0,118,37
0,120,46
0,121,24
0,123,80
0,124,36
0,127,64
0,129,31
0,131,101
0,132,48
0,136,54
0,137,80
0,140,39
0,141,11
0,143,42
0,146,64
0,147,92
0,148,64
0,149,35
0,152,10
0,153,116
0,156,83
0,160,65
0,161,67
0,164,76
0,166,74
0,167,102
0,171,42
0,173,25
0,177,63
0,180,87
0,182,20
0,183,57
0,184,79
0,185,51
0,186,68
0,189,99
0,192,37
0,195,8
0,196,21
0,199,97
1,3,78
1,6,78
1,7,45
1,8,30
1,12,33
1,14,32
1,17,74
1,19,48
1,21,70
1,24,71
1,25,32
1,26,31
1,30,64
1,34,54
1,37,65
1,38,26
1,40,73
1,41,62
1,43,34
1,46,22
1,48,67
1,51,34
1,52,56
1,54,51
1,58,21
1,61,13
1,65,26
1,69,41
1,71,56
1,73,60
1,75,62
1,76,63
1,77,46
1,80,75
1,82,57
1,83,39
1,85,59
1,86,32
1,89,19
1,94,43
1,96,52
1,99,69
1,104,71
1,105,54
1,106,37
1,111,69
1,114,12
1,115,35
1,118,37
1,119,80
1,122,60
1,126,65
1,129,4
1,130,39
1,139,72
1,142,14
1,148,37
1,150,58
1,153,84
1,156,54
1,157,43
1,166,45
1,167,70
1,169,22
1,170,16
1,171,10
1,173,19
1,175,78
1,176,23
1,177,35
1,179,32
1,184,55
1,191,10
1,195,28
1,196,16
1,199,64
2,3,50
2,4,44
2,5,27
2,8,63
2,13,38
2,16,50
2,18,45
2,19,9
2,25,34
2,27,19
2,28,39
2,30,31
2,31,18
2,32,28
2,34,33
2,39,45
2,41,40
2,42,36
2,43,67
2,47,40
2,48,40
2,55,9
2,58,29
2,60,37
2,61,27
2,62,78
2,64,51
2,65,66
2,67,40
2,68,6
2,69,56
2,70,27
2,73,61
2,74,34
2,75,82
2,77,6
2,80,43
2,83,25
2,84,43
2,91,73
2,96,30
2,100,44
2,103,58
2,104,30
2,110,20
2,111,39
2,115,63
2,116,28
2,119,49
2,123,37
2,125,14
2,133,48
2,134,13
2,136,39
2,137,60
2,145,23
2,149,69
2,153,56
2,157,64
2,161,77
2,165,21
2,168,14
2,169,56
2,173,46
2,177,7
2,179,16
2,181,39
2,184,22
2,185,18
2,186,39
2,187,23
2,190,48
2,191,47
2,192,40
2,193,63
2,198,4
3,5,31
3,7,39
3,10,42
3,12,96
3,15,44
3,16,85
3,17,90
3,18,81
3,21,58
3,26,98
3,28,89
3,30,20
3,31,60
3,39,86
3,40,84
3,41,17
3,43,86
3,49,60
3,58,58
3,59,66
3,67,15
3,69,62
3,73,48
3,74,85
3,78,90
3,80,79
3,82,22
3,83,39
3,84,46
