# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,59
1,31
2,11
3,16
4,23
5,7
6,3
7,81
8,43
9,62
10,33
11,10
12,19
13,6
14,42
15,48
16,78
17,9
18,9
19,69
20,46
21,50
22,6
23,80
24,62
25,17
26,42
27,5
28,39
29,48
30,46
31,45
32,63
33,7
34,72
35,70
36,14
37,85
38,43
39,78
40,40
41,76
42,29
43,5
44,92
45,91
46,83
47,4
48,20
49,30
50,88
51,92
52,93
53,0
54,42
55,17
56,71
57,6
58,12
59,44
60,67
61,87
62,44
63,44
64,69
65,17
66,78
67,28
68,76
69,98
70,37
71,37
72,57
73,27
74,70
75,94
76,3
77,55
78,37
79,52
80,78
81,4
82,83
83,84
84,26
85,6
86,80
87,29
88,47
89,76
90,93
91,75
92,26
93,47
94,94
95,46
96,9
97,85
98,69
99,24
