# Edges: fromIndex, toIndex, edgeCost
0,2,34
0,3,15
0,12,32
0,18,36
0,26,19
0,28,35
0,43,17
0,47,18
0,54,21
0,61,45
0,72,30
0,74,10
0,76,19
0,87,43
0,89,52
0,92,33
1,2,19
1,12,26
1,30,51
1,32,22
1,40,65
1,41,33
1,42,46
1,57,9
1,61,19
1,64,15
1,66,22
1,82,20
1,91,54
2,11,25
2,12,44
2,17,5
2,27,32
2,29,60
2,40,51
2,42,34
2,44,72
2,59,54
2,62,48
2,70,39
2,72,44
2,76,27
2,83,27
2,87,68
2,91,72
2,94,34
3,10,16
3,13,52
3,22,20
3,25,36
3,26,11
3,30,70
3,42,51
3,43,25
3,44,47
3,47,33
3,49,27
3,51,51
3,58,77
3,60,28
3,62,73
3,63,25
3,73,44
3,75,52
3,83,66
3,86,13
3,88,46
3,92,25
3,93,33
3,99,23
4,10,16
4,13,40
4,20,31
4,21,29
4,26,22
4,29,43
4,35,41
4,36,55
4,48,71
4,65,64
4,71,59
4,78,38
4,81,46
4,82,19
4,87,71
4,95,23
4,96,70
5,6,59
5,12,54
5,16,108
5,17,30
5,24,99
5,33,63
5,42,59
5,48,98
5,52,66
5,54,68
5,85,77
5,87,95
5,89,30
5,98,58
5,99,85
6,7,62
6,16,69
6,17,42
6,24,56
6,25,19
6,32,11
6,38,68
6,39,24
6,41,59
6,46,46
6,51,49
6,63,10
6,66,49
6,67,52
6,76,49
6,83,64
6,97,71
6,98,3
7,13,24
7,17,20
7,27,47
7,35,10
7,36,32
7,39,65
7,48,81
7,49,58
7,53,90
7,61,22
7,85,59
7,87,76
7,91,87
7,92,52
7,97,86
8,9,41
8,10,41
8,11,58
8,33,63
8,34,63
8,35,53
8,41,55
8,42,72
8,46,74
8,56,83
8,58,93
8,60,49
8,79,22
8,81,70
9,14,53
9,15,24
9,20,55
9,24,76
9,29,65
9,36,34
9,44,73
9,49,50
9,56,53
9,62,45
9,63,49
9,68,42
9,69,40
9,70,40
9,72,49
9,74,46
9,80,14
9,90,50
9,92,44
10,19,15
10,28,37
10,30,63
10,37,24
10,62,71
10,69,22
10,79,35
10,85,48
10,94,5
10,99,39
11,16,56
11,19,21
11,28,49
11,30,44
11,33,19
11,39,32
11,41,22
11,43,24
11,54,16
11,63,44
11,73,27
11,74,24
11,78,11
11,80,22
11,95,39
12,15,51
12,19,28
12,34,39
12,44,69
12,50,66
12,52,73
12,62,86
12,65,69
12,81,64
12,83,59
12,90,2
12,91,27
12,92,7
12,97,76
13,20,70
13,24,69
13,27,44
13,28,73
13,32,52
13,41,7
13,43,44
13,45,66
13,55,40
13,57,39
13,60,72
13,70,62
13,73,26
13,75,11
13,77,39
13,80,30
13,82,59
13,95,35
14,18,64
14,19,49
14,28,53
14,40,40
14,43,18
14,48,22
14,49,68
14,50,93
14,55,43
14,63,67
14,65,7
14,80,51
14,84,73
14,91,81
14,93,72
14,94,48
14,98,57
15,20,61
15,21,58
15,23,46
15,34,20
15,37,53
15,44,51
15,45,62
15,61,41
15,67,29
15,69,26
15,71,24
15,76,5
15,77,27
15,82,54
15,84,57
15,85,27
15,98,48
16,18,86
16,20,85
16,30,94
16,31,30
16,36,83
16,44,11
16,57,86
16,58,80
16,62,79
16,74,46
16,76,56
16,79,96
16,88,65
16,91,80
16,94,63
16,99,37
17,18,20
17,20,46
17,21,35
17,33,34
17,34,30
17,59,49
17,61,18
17,63,39
17,65,57
17,66,24
17,74,37
17,76,24
17,80,4
17,86,37
17,99,59
18,21,23
18,30,56
18,39,45
18,42,54
18,49,24
18,54,52
18,62,71
18,63,24
18,64,20
18,71,66
18,75,54
18,78,45
18,83,32
18,93,20
18,96,76
18,98,30
19,20,35
19,21,36
19,24,63
19,25,36
19,32,21
19,35,40
19,40,60
19,50,49
19,57,13
19,81,39
19,88,33
19,91,56
19,97,70
19,99,50
20,25,3
20,30,83
20,33,44
20,38,61
20,39,40
20,46,60
20,48,81
20,59,14
20,68,21
20,72,14
20,73,50
20,78,55
20,89,27
21,26,48
21,28,79
21,31,86
21,32,50
21,33,63
21,42,68
21,45,17
21,55,47
21,57,23
21,59,55
21,60,53
21,69,61
21,76,60
21,78,66
21,89,16
22,24,61
22,28,40
22,32,10
22,40,75
22,45,30
22,47,40
22,56,50
22,63,11
22,65,63
22,66,34
22,68,22
22,72,11
22,73,33
22,74,27
22,80,23
22,84,16
22,86,30
22,87,69
23,24,73
23,38,43
23,39,42
23,40,78
23,43,53
23,44,78
23,45,18
23,47,47
23,49,16
23,55,23
23,58,84
23,62,77
23,71,70
23,81,58
23,85,62
23,86,41
23,89,16
23,93,12
23,98,24
24,28,34
24,30,90
24,33,35
24,34,39
24,39,32
24,45,92
24,53,7
24,63,66
24,64,71
24,71,62
24,73,76
24,77,29
24,81,63
24,82,84
24,87,28
24,96,12
24,98,54
25,29,25
25,37,32
25,39,43
25,43,61
25,44,83
25,46,62
25,54,67
25,69,47
25,71,87
25,76,61
25,79,46
25,81,75
25,84,6
25,86,48
25,92,13
25,98,21
26,28,31
26,31,37
26,39,20
26,40,73
26,44,57
26,46,36
26,51,42
26,59,19
26,71,62
26,73,38
26,77,37
26,95,45
26,96,55
26,99,34
27,34,20
27,40,66
27,65,51
27,68,34
27,69,15
27,73,33
27,76,30
27,83,54
27,91,43
27,96,52
28,30,92
28,33,29
28,36,88
28,39,16
28,43,35
28,44,46
28,48,48
28,53,41
28,62,91
28,63,39
28,72,31
28,73,67
28,85,50
28,87,57
28,89,66
28,90,36
28,94,33
28,98,27
29,30,91
29,37,11
29,40,95
29,43,48
29,52,82
29,53,62
29,56,57
29,63,21
29,73,61
29,77,52
29,78,50
29,81,75
29,82,43
29,83,77
