# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,44
1,56
2,75
3,35
4,66
5,87
6,27
7,85
8,79
9,75
10,46
11,53
12,37
13,73
14,41
15,63
16,0
17,65
18,67
19,55
20,38
21,78
22,46
23,57
24,1
25,38
26,36
27,45
28,5
29,17
30,93
31,13
32,36
33,34
34,43
35,94
36,92
37,16
38,98
39,24
40,80
41,73
42,72
43,32
44,10
45,69
46,42
47,53
48,20
49,38
50,98
51,77
52,71
53,1
54,42
55,45
56,31
57,66
58,80
59,27
60,28
61,77
62,80
63,37
64,75
65,30
66,77
67,75
68,58
69,34
70,89
71,70
72,37
73,75
74,34
75,72
76,53
77,32
78,43
79,77
80,65
81,72
82,58
83,97
84,48
85,41
86,34
87,30
88,72
89,69
90,37
91,8
92,47
93,48
94,46
95,86
96,11
97,10
98,36
99,14
