# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,4
1,39
2,49
3,25
4,69
5,76
6,9
7,60
8,13
9,72
10,41
11,84
12,48
13,73
14,91
15,84
16,42
17,16
18,65
19,57
20,98
21,25
22,33
23,78
24,2
25,79
26,94
27,80
28,82
29,77
30,71
31,73
32,77
33,12
34,14
35,8
36,83
37,48
38,70
39,94
40,28
41,43
42,51
43,42
44,28
45,82
46,4
47,59
48,72
49,98
50,72
51,61
52,62
53,43
54,84
55,13
56,87
57,49
58,20
59,22
60,96
61,87
62,83
63,52
64,45
65,3
66,23
67,84
68,16
69,16
70,27
71,21
72,24
73,56
74,59
75,45
76,51
77,68
78,58
79,1
80,52
81,1
82,75
83,14
84,11
85,20
86,17
87,50
88,75
89,86
90,43
91,69
92,48
93,13
94,85
95,77
96,74
97,86
98,65
99,3
100,26
101,10
102,18
103,81
104,78
105,15
106,66
107,38
108,16
109,70
110,8
111,26
112,97
113,80
114,59
115,84
116,86
117,20
118,90
119,40
120,66
121,18
122,12
123,99
124,61
125,95
126,0
127,83
128,66
129,81
130,64
131,73
132,75
133,13
134,24
135,28
136,78
137,53
138,49
139,44
140,55
141,11
142,62
143,96
144,49
145,0
146,36
147,28
148,5
149,30
150,86
151,4
152,81
153,13
154,43
155,12
156,79
157,85
158,95
159,92
160,58
161,37
162,9
163,52
164,78
165,55
166,37
167,27
168,33
169,71
170,88
171,54
172,5
173,20
174,15
175,22
176,88
177,79
178,55
179,36
180,63
181,7
182,45
183,73
184,54
185,81
186,65
187,81
188,7
189,51
190,34
191,31
192,77
193,92
194,45
195,33
196,11
197,72
198,14
199,10
200,33
201,93
202,77
203,55
204,69
205,75
206,87
207,20
208,29
209,1
210,58
211,93
212,12
213,59
214,83
215,43
216,40
217,26
218,60
219,18
220,35
221,14
222,83
223,20
224,86
225,29
226,46
227,80
228,80
229,58
230,28
231,44
232,60
233,16
234,55
235,33
236,33
237,62
238,27
239,6
240,72
241,69
242,54
243,96
244,65
245,44
246,66
247,82
248,44
249,68
250,36
251,62
252,85
253,80
254,9
255,23
256,86
257,83
